unique_code,violation_type,category,vehicle_age,belts,personal_injured,contributed_to_accident,property_damaged,vehicle_category,arrest_category
"""Code_16527""",1,0,21,1,0,0,0,1,1
"""Code_12723""",1,4,12,1,0,0,0,2,2
"""Code_1594""",1,6,21,1,0,0,0,1,1
"""Code_21364""",1,1,22,1,0,0,0,1,2
"""Code_14882""",1,4,10,1,0,0,0,1,2
"""Code_32293""",1,4,24,1,0,0,0,1,1
"""Code_11446""",1,7,20,1,0,0,0,1,1
"""Code_28746""",1,7,19,1,0,0,0,2,1
"""Code_16218""",1,15,14,1,0,0,0,1,1
"""Code_5324""",1,1,25,1,0,0,0,1,1
"""Code_26071""",1,3,13,1,0,0,0,1,1
"""Code_18327""",1,3,29,1,0,0,0,1,1
"""Code_9666""",1,5,16,1,0,0,0,2,1
"""Code_12867""",1,13,28,1,0,0,1,1,1
"""Code_10266""",1,3,28,1,0,0,0,1,1
"""Code_28448""",1,9,22,1,0,1,0,1,1
"""Code_14424""",1,12,26,1,0,0,0,1,1
"""Code_6659""",1,7,22,1,0,0,0,1,1
"""Code_5787""",1,7,19,1,0,0,0,1,1
"""Code_8854""",1,13,22,1,0,0,0,1,1
"""Code_23852""",1,2,12,1,0,0,0,1,1
"""Code_4320""",1,2,23,1,0,1,0,1,1
"""Code_30158""",1,14,20,1,0,0,0,1,1
"""Code_19010""",1,2,29,1,0,0,0,1,1
"""Code_6821""",1,4,10,1,0,0,0,1,2
"""Code_3088""",1,5,12,1,0,0,0,1,1
"""Code_15744""",1,4,18,1,0,0,0,1,2
"""Code_26816""",1,2,14,1,0,0,0,1,1
"""Code_13269""",1,14,28,1,0,0,0,1,1
